0;year;injury.type;size;t.ninj;c.ninj;location;mandatory;mandatory.category;ages;male;injury;car;additional values
23;1998;serious.head;1462;226;668;Canada;N;N;child;0.705198358;62.0;1001.47;685
24;1998;head;211;1;111;USA;N;N;child;0.791469194;99.0;172.176;816
25;1998;head;208;10;70;USA;Y;child;child;0.65;128.0;169.728;816
26;1998;serious.head;208;10;70;USA;Y;child;child;0.65;20.0;169.728;816
27;1999;head;125;8;34;USA;Y;child;child;0.777777778;80.0;102;816
28;1999;serious.head;125;8;34;USA;Y;child;child;0.777777778;47.0;102;816
29;2003;face;991;110;381;Norway;N;N;all;0.688;240.0;517.302;522
30;2003;head;991;110;381;Norway;N;N;all;0.688;254.0;517.302;522
31;2006;head;160;16;86;Singapore;N;N;all;0.81875;58.0;27.2;170
32;2006;serious.head;160;16;86;Singapore;N;N;all;0.81875;14.0;27.2;170
33;2006;face;160;16;90;Singapore;N;N;all;0.81875;54.0;27.2;170
34;2007;head;200;2;128;UAE;N;N;all;0.873737374;68.0;46.8;234
35;2009;head;698;2;629;Hong Kong;N;N;all;0.654727794;67.0;64.216;92
36;2010;head;151;23;66;Finland;Y;all;all;0.615740741;62.0;96.942;642
37;2010;serious.head;313;233;40;Australia;Y;all;adult;0.818815331;14.0;246.957;789
38;2011;head;682;9;347;Hong Kong;N;N;all;0.743;201.0;62.744;92
39;2011;serious.head;682;9;347;Hong Kong;N;N;all;0.743;14.0;62.744;92
40;2011;face;682;9;347;Hong Kong;N;N;all;0.743;144.0;62.744;92
41;2011;neck;682;9;347;Hong Kong;N;N;all;0.743;2.0;62.744;92
42;2012;head;8373;1137;4016;France;N;N;all;0.767108563;1471.0;4035.786;482
43;2012;serious.head;8373;1137;4016;France;N;N;all;0.767108563;144.0;4035.786;482
44;2012;face;8373;1137;4016;France;N;N;all;0.767108563;1926.0;4035.786;482
45;2012;neck;8373;1137;4016;France;N;N;all;0.767108563;529.0;4035.786;482
46;2012;head;420;98;161;USA;Y;child;adult;0.82;161.0;342.72;816
47;2012;serious.head;420;98;161;USA;Y;child;adult;0.82;50.0;342.72;816
48;2012;fatal;129;21;37;Canada;Y;child;all;0.86;71.0;88.365;685
49;2012;head;163;7;18;USA;Y;child;adult;;41.0;133.008;816
50;2012;serious.head;163;7;18;USA;Y;child;adult;;16.0;133.008;816
51;2012;face;163;7;18;USA;Y;child;adult;;11.0;133.008;816
52;2013;head;6745;4715;1391;Australia;Y;all;all;0.848;639.0;5321.805;789
53;2013;serious.head;6745;4715;1391;Australia;Y;all;all;0.848;272.0;5321.805;789
54;2013;head;110;32;8;Australia;Y;all;adult;0.9;57.0;86.79;789
55;2013;serious.head;110;32;8;Australia;Y;all;adult;0.9;15.0;86.79;789
56;2013;face;110;32;8;Australia;Y;all;adult;0.9;41.0;86.79;789
57;2013;head;137;57;20;Australia;Y;all;all;0.832;60.0;108.093;789
58;2013;serious.head;137;57;20;Australia;Y;all;all;0.832;6.0;108.093;789
59;2013;neck;137;85;47;Australia;Y;all;all;0.832;5.0;108.093;789
60;2013;head;374;103;223;USA;N;N;all;0.860962567;82.0;305.184;816
61;2013;serious.head;374;103;223;USA;N;N;all;0.860962567;18.0;305.184;816
62;2013;face;374;103;223;USA;N;N;all;0.860962567;28.0;305.184;816
63;2013;neck;374;103;223;USA;N;N;all;0.860962567;9.0;305.184;816
64;2014;neck;249;44;183;USA;N;N;all;0.819277108;22.0;203.184;816
65;2014;head;15569;7438;3418;Canada;Y;child;child;0.725885402;1922.0;10664.765;685
66;2014;serious.head;15569;7438;3418;Canada;Y;child;child;0.725885402;135.0;10664.765;685
67;2014;face;15569;7438;3418;Canada;Y;child;child;0.725885402;2469.0;10664.765;685
68;2014;neck;15569;7438;3418;Canada;Y;child;child;0.725885402;181.0;10664.765;685
69;2014;head;543;41;205;Germany;N;N;all;0.48;189.0;311.682;574
70;2014;serious.head;543;41;205;Germany;N;N;all;0.48;21.0;311.682;574
71;2014;head;4245;304;2360;Germany;N;N;all;;926.0;2436.63;574
72;2014;serious.head;4245;304;2360;Germany;N;N;all;;62.0;2436.63;574
73;2014;head;186;48;56;Sweden;Y;child;adult;0.667;49.0;87.978;473
74;2014;serious.head;186;48;56;Sweden;Y;child;adult;0.667;41.0;87.978;473
75;2014;face;186;48;56;Sweden;Y;child;adult;0.667;47.0;87.978;473
76;2014;neck;186;48;56;Sweden;Y;child;adult;0.667;20.0;87.978;473
77;2015;head;254;102;16;Australia;Y;all;adult;0.8;111.0;200.406;789
78;2015;serious.head;254;102;16;Australia;Y;all;adult;0.8;8.0;200.406;789
79;2015;face;254;102;16;Australia;Y;all;adult;0.8;78.0;200.406;789
80;2015;head;7678;1269;3441;USA;;N;child;0.773248242;2968.0;6265.248;816
81;2015;serious.head;7678;1269;3441;USA;;N;child;0.773248242;1241.0;6265.248;816
82;2015;neck;7678;1691;5956;USA;;N;child;0.773248242;31.0;6265.248;816
